=== 5-a-side standalone learning demo ===
scripted-vs-scripted:   goal_diff=-0.17  (A 0.22 / B 0.39)
untrained-vs-scripted:  goal_diff=-0.14  winrate=0.43  (A 0.00 / B 0.14)  spacing=8.6
behavior-clone warm start: 28800 samples, loss 1.062, teacher-match 61%
training for 500 iterations (12 games/iter, 4 rollout workers, seed 20260710)...

 iter |  goal_diff |  winrate |     gA     gB |  space |   gate | entropy |  val_loss
  410 |     -0.017 |    0.492 |   0.00   0.02 | sp 11.2 |  watch | pass  1.5 (55%) | shot 0.0
  415 |     +0.000 |    0.500 |   0.00   0.00 | sp 11.0 |  watch | pass  1.5 (34%) | shot 0.0
  420 |     +0.000 |    0.500 |   0.00   0.00 | sp 10.8 |  watch | pass  1.0 (57%) | shot 0.0
  425 |     -0.033 |    0.483 |   0.00   0.03 | sp 10.7 |  watch | pass  2.5 (46%) | shot 0.0
  430 |     -0.050 |    0.475 |   0.00   0.05 | sp 10.8 |  watch | pass  2.5 (39%) | shot 0.0
  435 |     +0.000 |    0.500 |   0.00   0.00 | sp 10.8 |  watch | pass  0.6 (68%) | shot 0.0
  440 |     -0.050 |    0.475 |   0.00   0.05 | sp 10.7 |  watch | pass  4.5 (22%) | shot 0.0
  445 |     -0.033 |    0.483 |   0.00   0.03 | sp 11.1 |  watch | pass  3.2 (42%) | shot 0.0
  450 |     +0.000 |    0.500 |   0.00   0.00 | sp 10.5 |  watch | pass  3.5 (15%) | shot 0.0
  455 |     -0.050 |    0.475 |   0.00   0.05 | sp 10.1 |  watch | pass  3.6 (24%) | shot 0.0
  460 |     -0.100 |    0.450 |   0.00   0.10 | sp 10.7 |  watch | pass  2.9 (18%) | shot 0.0
  465 |     +0.000 |    0.500 |   0.00   0.00 | sp 11.0 |  watch | pass  0.5 (87%) | shot 0.0
  470 |     -0.067 |    0.475 |   0.00   0.07 | sp 10.2 |  watch | pass  2.6 (30%) | shot 0.0
  475 |     +0.000 |    0.500 |   0.00   0.00 | sp 10.4 |  watch | pass  0.9 (74%) | shot 0.0
  480 |     +0.000 |    0.500 |   0.00   0.00 | sp 10.2 |  watch | pass  0.9 (65%) | shot 0.0
  485 |     +0.000 |    0.500 |   0.00   0.00 | sp  9.9 |  watch | pass  1.2 (82%) | shot 0.0
  490 |     -0.017 |    0.492 |   0.00   0.02 | sp 10.4 |  watch | pass  1.4 (42%) | shot 0.0
  495 |     -0.033 |    0.483 |   0.00   0.03 | sp 10.5 |  watch | pass  2.8 (28%) | shot 0.0
  500 |     +0.000 |    0.500 |   0.02   0.02 | sp 10.0 |  watch | pass  2.8 (32%) | shot 0.0

wrote out/learning_curve.csv
warning: no checkpoint cleared the behavior gates; persisting best observed checkpoint with manifest flag
best policy at iter 250 (quality -1.976, gates=false)
saved policy -> out/actor.txt, out/critic.txt

FINAL (300 games): goal_diff=-0.023  winrate=0.488  goals 0.02-0.04  passes/game 1.8  spacing=10.5  bunch=1%
  pass: 5.1 att, 36% complete (89% fwd / 6% lat / 5% back) | shots 0.1, 15% converted | poss 40% | turnovers 240.5 | balls won 240.4
warning: no display seed matched the showcase filter; using seed 1 as a fallback
display seed 1 (fallback): before 0-0 (poss 1)  ->  after 0-0 (poss 209, passes 3)
wrote out/match_before.json + out/match_after.json (visual demo traces)
wrote out/run_manifest.json
