=== 5-a-side standalone learning demo ===
scripted-vs-scripted:   goal_diff=-0.17  (A 0.22 / B 0.39)
untrained-vs-scripted:  goal_diff=-0.14  winrate=0.43  (A 0.00 / B 0.14)  spacing=8.6
behavior-clone warm start: 28800 samples, loss 1.062, teacher-match 61%
training for 500 iterations (12 games/iter, 4 rollout workers, seed 20260710)...

 iter |  goal_diff |  winrate |     gA     gB |  space |   gate | entropy |  val_loss
  385 |     -0.533 |    0.275 |   0.00   0.53 | sp  8.8 |  watch | pass 10.3 (18%) | shot 0.0
  390 |     -0.817 |    0.192 |   0.00   0.82 | sp  8.4 |  watch | pass 18.9 (19%) | shot 0.0
  395 |     -0.567 |    0.275 |   0.00   0.57 | sp  8.3 |  watch | pass 12.4 (21%) | shot 0.0
  400 |     -0.933 |    0.192 |   0.00   0.93 | sp  8.9 |  watch | pass 10.0 (28%) | shot 0.0
  405 |     -0.550 |    0.275 |   0.00   0.55 | sp  8.9 |  watch | pass 15.0 (26%) | shot 0.0
  410 |     -0.733 |    0.233 |   0.00   0.73 | sp  8.9 |  watch | pass 12.6 (22%) | shot 0.0
  415 |     -0.517 |    0.267 |   0.00   0.52 | sp  8.8 |  watch | pass  8.4 (32%) | shot 0.0
  420 |     -0.483 |    0.300 |   0.00   0.48 | sp  8.9 |  watch | pass 10.4 (29%) | shot 0.0
  425 |     -0.483 |    0.283 |   0.00   0.48 | sp  8.7 |  watch | pass 12.5 (26%) | shot 0.0
  430 |     -0.450 |    0.317 |   0.00   0.45 | sp  8.4 |  watch | pass  8.3 (32%) | shot 0.0
  435 |     -0.500 |    0.275 |   0.00   0.50 | sp  8.7 |  watch | pass 10.1 (24%) | shot 0.0
  440 |     -0.583 |    0.258 |   0.00   0.58 | sp  9.0 |  watch | pass 12.5 (22%) | shot 0.0
  445 |     -0.617 |    0.233 |   0.00   0.62 | sp  8.9 |  watch | pass 11.4 (29%) | shot 0.0
  450 |     -0.667 |    0.242 |   0.00   0.67 | sp  8.6 |  watch | pass 10.7 (31%) | shot 0.0
  455 |     -0.500 |    0.292 |   0.00   0.50 | sp  8.8 |  watch | pass  9.1 (37%) | shot 0.0
  460 |     -0.567 |    0.267 |   0.00   0.57 | sp  8.7 |  watch | pass 14.6 (25%) | shot 0.0
  465 |     -0.600 |    0.275 |   0.00   0.60 | sp  8.7 |  watch | pass 14.1 (24%) | shot 0.0
  470 |     -0.550 |    0.258 |   0.00   0.55 | sp  8.7 |  watch | pass 13.5 (24%) | shot 0.0
  475 |     -0.683 |    0.267 |   0.00   0.68 | sp  8.4 |  watch | pass 11.4 (28%) | shot 0.0
  480 |     -0.417 |    0.317 |   0.00   0.42 | sp  8.9 |  watch | pass 17.4 (19%) | shot 0.0
  485 |     -0.517 |    0.292 |   0.00   0.52 | sp  8.8 |  watch | pass 14.9 (20%) | shot 0.0
  490 |     -0.467 |    0.283 |   0.00   0.47 | sp  9.0 |  watch | pass 21.6 (14%) | shot 0.0
  495 |     -0.583 |    0.283 |   0.00   0.58 | sp  9.0 |  watch | pass 22.4 (15%) | shot 0.0
  500 |     -0.467 |    0.275 |   0.00   0.47 | sp  8.8 |  watch | pass 24.4 (12%) | shot 0.0

wrote out/learning_curve.csv
warning: no checkpoint cleared the behavior gates; persisting best observed checkpoint with manifest flag
best policy at iter 35 (quality -1.667, gates=false)
saved policy -> out/actor.txt, out/critic.txt

FINAL (300 games): goal_diff=-1.093  winrate=0.145  goals 0.10-1.19  passes/game 7.1  spacing=12.3  bunch=2%
  pass: 28.3 att, 25% complete (87% fwd / 11% lat / 2% back) | shots 1.1, 9% converted | poss 7% | turnovers 29.2 | balls won 27.9
display seed 28: before 0-0 (poss 1)  ->  after 1-0 (poss 37, passes 13)
wrote out/match_before.json + out/match_after.json (visual demo traces)
wrote out/run_manifest.json
